eeg_id,cage_number,ear_tag,sex,year,start_date,end_date,computer,channel,injection_date,injection,cycle_length,cycle_group,diestrus_dates,estrus_dates,proestrus_dates,unlabeled_dates
890,1660.21,N,female,2021,7/14/21,8/4/21,1,2,5/20/21,KA_right,7.5,long,"7/18, 7/19, 7/27","7/22, 7/25, 7/30","7/21, 7/24, 7/29","7/17, 7/20, 7/23"
891,1660.31,R,female,2021,7/14/21,8/4/21,1,3,5/21/21,KA_right,9,long,"7/18, 7/28, 7/30","7/15, 7/23, 7/29","7/22, 7/31, 8/1 ","7/16, 7/17, 7/19, 7/20, 7/21"
904,1665.11,N,female,2021,7/14/21,8/4/21,1,4,5/24/21,KA_left,8,long,"7/19, 7/27, 7/16","7/18, 7/26, 7/29","7/21, 7/25, 7/28","7/17, 7/20, 7/22, /23, 7/24"
905,1665.12,L+R,female,2021,7/14/21,8/4/21,2,2,5/24/21,KA_left,10,long,"7/16, 7/17, 7/26","7/21, 7/23/ 7/30","7/20, 7/22, 7/28","7/18, 7/19"
909,1666.11,L+R,female,2021,7/14/21,8/4/21,2,3,5/24/21,KA_left,4.5,regular,"7/15, 7/20, 7/24","7/17, 7/22, 7/26","7/16, 7/21, 7/27","7/18, 7/19"
1747.11,1747.11,,male,2021,11/8/21,11/22/21,1,1,9/20/21,KA_left,,,,,,"11/13, 11/17, 11/21, 11/20, 11/19, 11/18, 11/16, 11/15"
,1745.21,,female,2021,11/16/21,11/30/21,1,2,9/28/21,KA_right,4,regular,"11/21, 11/22, 11/27","11/20, 11/25, 11/29","11/24, 11/28","11/19, 11/23, 11/26"
,1746.21,,female,2021,11/16/21,11/30/21,1,3,9/28/21,KA_left,13,long,"11/18, 11/19, 11/20, 11/25","11/16, 11/23, 11/29","11/27, 11/26","11/22, 11/24, 11/28"
1825.11,1825.11,,male,2022,2/25/22,3/11/22,1,1,1/7/22,KA_right,,,,,,"3/10, 3/9, 3/8, 3/7, 3/6, 3/5, 3/4"
1846.21,1846.21,,male,2022,3/26/22,4/9/22,1,3,2/5/22,KA_left,,,,,,"4/8, 4/7, 4/6, 4/5, 4/4, 4/3, 4/2"
1846.11,1846.11,,male,2022,3/26/22,4/9/22,1,1,2/4/22,KA_right,,,,,,"4/8, 4/7, 4/6, 4/5, 4/4, 4/3, 4/2"
1848.12,1848.12,,male,2022,3/26/22,4/9/22,1,5,2/5/22,KA_left,,,,,,"4/8, 4/7, 4/6, 4/5, 4/4, 4/3, 4/2"
1848.13,1848.13,,male,2022,3/26/22,4/9/22,1,6,2/5/22,KA_left,,,,,,"4/8, 4/7, 4/6, 4/5, 4/4, 4/3, 4/2"
1846.13,1846.13,,male,2022,3/27/22,4/10/22,1,2,2/4/22,KA_right,,,,,,"4/8, 4/7, 4/6, 4/5, 4/4, 4/3, 4/2"
1848.14,1848.14,,male,2022,3/27/22,4/10/22,1,7,2/5/22,KA_left,,,,,,"4/8, 4/7, 4/6, 4/5, 4/4, 4/3, 4/2"
